sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Textiles. Determinación de la resistencia a la penetración de agua bajo presión hidrostática";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2015";"";"";"";"IRAM 7547:2015";"59.080.30 Tejidos textiles";"Materiales textiles; Métodos de determinación; Agua; Presión";""
"Calidad ambiental - Calidad del agua. Muestreo. Parte 1 - Directivas generales para el diseño de programas y técnicas de muestreo";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2013";"";"";"";"IRAM 29012-1:2013";"13.060.45 Análisis de agua en general";"Contaminación ambiental; Agua; Calidad; Medio ambiente; Muestreo; Recomendaciones; Programas; Diseño";""
"Calidad ambiental - Calidad de agua. Muestreo. Parte 15: Directivas para la preservación y manipulación de muestras de barros y sedimentos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2012";"";"";"";"IRAM 29012-15:2012";"13.060.30 Agua residual; 13.060.45 Análisis de agua en general";"Contaminación ambiental; Agua; Calidad; Medio ambiente; Muestreo; Preservación de muestras; Manipuleo; Muestras; Aguas servidas; Líquidos cloacales; Barros; Sedimentos";""
"Calidad ambiental - Calidad del agua. Determinación de la demanda bioquímica de oxígeno después de n días (DBOn). Parte 1: Método de dilución y siembra con alil tiourea";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2002";"";"";"";"IRAM 29015-1:2002";"13.060.01 Calidad del agua en general; 13.060.50 Determinación de sustancias químicas en el agua";"Contaminación ambiental; Agua; Calidad; Contaminación del agua; Métodos de determinación; Demanda Bioquímica de Oxígeno; Disolución";""
"Calidad ambiental - Calidad del agua. Detección de Pseudomonas aeruginosa en agua. Método de enriquecimiento en medio líquido";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2010";"";"";"";"IRAM 29106:2010";"13.060.20 Agua potable; 13.060.70 Determinación de las propiedades biológicas del agua";"Contaminación ambiental; Agua; Calidad; Contaminación del agua; Detección; Enumeración bacteriana; Bacterias aeróbicas";""
"Calidad ambiental - Calidad del agua. Detección y recuento de bacterias coliformes y de Escherichia coli. Parte 1 - Método de filtración por membrana para agua con bajo contenido de flora bacteriana";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2015";"";"";"";"IRAM 29107-1:2015";"13.060.45: Análisis de agua en general";"Contaminación ambiental; Agua; Calidad; Contaminación del agua; Detección; Enumeración bacteriana; Recuento bacteriano; Bacterias; Bacterias coliformes; Escherichia coli; Filtración";""
"Calidad ambiental - Calidad del agua. Detección y enumeración de organismos coliformes, organismos coliformes termotolerantes y Escherichia coli presuntiva. Parte 2: Método de tubos múltiples (número más probable).";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2005";"";"";"";"IRAM 29107-2:2005";"13.060.45: Análisis de agua en general";"Contaminación ambiental; Agua; Calidad; Contaminación del agua; Detección; Enumeración bacteriana; Recuento bacteriano; Bacterias; Escherichia coli; Número más probable";""
"Calidad ambiental - Calidad del agua. Detección y recuento de Pseudomonas aeruginosa. Método de filtración por membrana";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2008";"";"";"";"IRAM 29108:2008";"07.100.20: Microbiología del agua; 13.060.01: Calidad del agua en general.";"Contaminación ambiental; Agua; Calidad; Contaminación del agua; Detección; Enumeración bacteriana; Recuento bacteriano; Filtración";""
"Calidad del medio ambiente. Agua. Determinación de la demanda bioquímica de oxígeno después de 5 d (DBO5), por dilución y siembra";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1996";"";"";"";"IRAM 29006:1996";"13.060.01: Calidad del agua en general";"Contaminación ambiental; Agua; Calidad; Contaminación del agua; Demanda bioquímica de oxígeno";""
"Calidad ambiental. Determinación de la inhibición de la emisión de luz de Vibrio fischeri. Método utilizando bacterias liofilizadas";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"20014";"";"";"";"IRAM 29115:2014";"13.060.70: Determinación de las propiedades biológicas del agua";"Contaminación ambiental; Agua; Calidad; Análisis de agua; Determinación; Bacterias; Vibrio fischeri";""
"Yerba mate. Determinación de las cenizas solubles en agua y de las insolubles en agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2011";"";"";"";"IRAM 20506:2011";"67.140.10: Té y yerba mate";"Yerba mate; Métodos de determinación; Cenizas; Solubilidad; Agua";""
"Yerba mate. Determinación del extracto acuoso";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2007";"";"";"";"IRAM 20510:2007";"67.140.10: Té y yerba mate";"Yerba mate; Métodos de determinación; Solubilidad; Muestreo; Agua; Ebullición";""
"Tableros de partículas y tableros de fibras. Determinación del hinchamiento del espesor después de inmersión en agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1999";"";"";"";"IRAM 9720:1999";"79.060.20: Paneles de fibra y de partículas";"Maderas; Tableros; Métodos de determinación; Espesor; Inmersión; Agua";""
"Productos químicos para uso industrial. Sulfato de aluminio para potabilización de agua y para usos generales. Requisitos y métodos de determinación de referencia";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1996";"";"";"";"IRAM 41159-1:1996";"71.060.50 Sales; 71.100.80 Sustancias químicas para la purificación del agua";"Productos químicos; Sulfatos; Aluminio; Potabilización; Agua; Métodos de referencia";""
"Productos químicos para uso industrial. Sulfato de aluminio para potabilización de agua y otros usos industriales. Métodos rápidos de análisis químico";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1996";"";"";"";"IRAM 41159-2:1996";"71.060.50 Sales; 71.100.80 Sustancias químicas para la purificación del agua";"Productos químicos; Sulfatos; Aluminio; Potabilización; Agua; Análsis químico";""
"Productos químicos para uso doméstico. Agua lavandina (solución de hipoclorito de sodio). Parte 1: Requisitos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2004";"";"";"";"IRAM 41173-1:2004";"1.100.35 Productos químicos para desinfección industrial y doméstica; 71.100.80 Sustancias químicas para la purificación del agua";"Productos químicos; Lavandina";""
"Productos químicos para uso doméstico. Agua lavandina (solución de hipoclorito de sodio). Parte 2: Determinación del contenido de cloro activo";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2005";"";"";"";"IRAM 41173-2:2005";"1.100.35 Productos químicos para desinfección industrial y doméstica; 71.100.80 Sustancias químicas para la purificación del agua";"Productos químicos; Lavandina; Métodos de determinación; Cloros";""
"Drogas para uso fotográfico. Carbonato de sodio, con una molécula de agua (Na2CO3.H2O)";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1978";"";"";"";"IRAM 17704:1978";"37.040.30: Productos químicos fotográficos";"Carbonatos; Agua; Drogas; Fotografía";""
"Calderas de agua caliente de baja presión";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1993";"";"";"";"IRAM 19001:1993";"27.060.30 Calderas e intercambiadores de calor";"Calderas; Intercambiadores de calor; Agua; Temperatura; Presión";""
"Líquidos refrigerantes anticongelantes para sistemas de enfriamiento de motores. Determinación de agua por el método de Karl Fischer";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2001";"";"";"";"IRAM-AITA 41361:2001";"71.100.45 Refrigerantes y anticongelantes";"Líquidos refrigerantes; Líquidos anticongelantes; Enfriamiento; Motores; Determinación; Agua";""
"Dispositivos de acondicionamiento de agua de red domiciliaria. Requisitos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2011";"";"";"";"IRAM 27300:2011";"13.060.20: Agua potable; 91.140.60: Sistemas de suministro de agua";"Abastecimiento de agua; Dispositivos; Agua; Redes";""
"Sistema de tuberías de polipropileno. Piezas de conexión de polipropileno, para unión por interfusión, con tubos del mismo material, para el transporte de agua bajo presión";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2011";"";"";"";"IRAM 13472:2011";"";"Tuberias; Tubos; Polipropileno; Polímeros termoplásticos; Uniones; Agua; Presión";""
"Tubos de polietileno (PE) para suministro de agua o conducción de líquidos cloacales bajo presión. Requisitos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2012";"";"";"";"IRAM 13485:2012";"45.040.00: Materiales y componentes para ingeniería de ferrocarriles";"Plásticos; Tuberias; Tubos; Polietileno; Abastecimiento de agua; Agua; Líquidos cloacales; Presión";""
"Generadores de vapor y calderas de agua caliente. Nomenclatura y clasificación de sus partes y accesorios";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1962";"";"";"";"IRAM-IAPG A 2505:1962";"27.060.01: Quemadores y calderas en general";"Generadores de vapor; Calderas de vapor; Agua caliente; Nomeclaturas";""
"Generadores de vapor y calderas de agua caliente. Nomenclatura del dimensionamiento y cálculo";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1962";"";"";"";"IRAM-IAPG A 2506:1962";"27.060.01: Quemadores y calderas en general";"Generadores de vapor; Calderas de vapor; Agua caliente; Nomeclaturas; Dimensiones; Métodos de cálculo";""
"Generadores de vapor y calderas de agua caliente. Presiones y temperaturas normales";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1962";"";"";"";"IRAM-IAPG A 2507:1962";"27.060.01: Quemadores y calderas en general";"Generadores de vapor; Calderas de vapor; Agua caliente; Presión; Temperatura";""
"Generadores de vapor y calderas de agua caliente. Inspección periódica";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1962";"";"";"";"IRAM-IAPG A 2509:1962";"27.060.01: Quemadores y calderas en general";"Generadores de vapor; Calderas de vapor; Agua caliente; Inspección";""
"Cuero. Ensayos físicos y mecánicos. Determinación de la absorción estática de agua. (ISO 2417:2016)";"";"Asociación Española de Normalización y Certificación (AENOR)";"2016";"";"";"";"UNE-EN ISO 2417:2016";"59.140.30 Cueros y pieles";"Cueros; Ensayos físicos; Ensayos mecánicos; Métodos de determinación; Absorción; Agua";""
"Textile fabrics -- Determination of resistance to surface wetting (spray test)";"";"International Organization for Standardization (ISO)";"2012";"";"";"";"ISO 4920:2012";"Textile fabrics -- Determination of resistance to surface wetting (spray test)";"Materiales textiles; Métodos de determinación; Ensayos de resistencia; Resistencia al agua; Resistencia de materiales";""
"Testing methods for determination of the water vapour transmission rate of moisture-proof packaging materials (dish method)";"";"Japanese Standards Association (JIS)";"1976";"";"";"";"JIS Z 0208:1976";"";"Métodos de ensayo; Determinación; Velocidad; Vapor de agua; Maateriales; Embalaje; Humedad; Ensayos; T";""
"pH of the water-extract from wet processed textiles ";"";"American Association of Textile Chemists and Colorists (AATCC)";"2012";"";"";"";"AATCC Test Method 81";"";"Materiales textiles; pH; Metodos de ensayos; Agua; Extraccion; Blanqueo";""
"Pinturas. Al agua tipo emulsión (al látex), elásticas, para exteriores";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2012";"";"";"";"IRAM 1252:2012";"87.040.00: Pinturas y barnices";"Pinturas; Pinturas al agua; Latex; Emulsiones";""
"Tubos de cobre. Sin costura para conducción de agua.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1998";"";"";"";"IRAM 2521-1:1998";"23.040.15: Caños de metales no ferrosos; 77.150.30: Productos de cobre.";"Tubos; Cobre; Agua; Instalaciones sanitarias";""
"Tubos de material plástico para conducción de agua potable. Requisitos bromatológicos.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1968";"";"";"";"IRAM 13352:1968";" 83.140.30 Tuberías de plástico, accesorios y válvulas";"Tubos; Plastico; Instalaciones sanitarias; Agua; Metodo de ensayo";""
"Sistemas de tuberías de polipropileno. Tubos de polipropileno para unión por interfusión, para el transporte de agua potable o no, bajo presión. Requisitos.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2009";"";"";"";"IRAM 13471";"23.040.20 Caños plásticos";"Tubos; Tuberías; Materiales plásticos; Polipropileno; Uniones; Interfusión; Transporte; Agua potable";""
"Dispositivos de acondicionamiento de agua. Dispositivos para la retención de partículas. Clasificación y ensayos.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2012";"";"";"";"IRAM 27302:2012";"91.140.60 Sistemas de suministro de agua";"Abastecimiento de agua; Dispositivos; Agua; Metodos de ensayo";""
"Calidad ambiental - Calidad del agua. Determinación de aniones disueltos por cromatografía líquida de iones. Parte 1 - Determinación de bromuro, cloruro, fluoruro, nitrato, nitrito, ortofosfato y sulfato.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2016";"";"";"";"IRAM 29039-1:2016";"13.060.50 Determinación de sustancias químicas en el agua";"Agua; Calidad; Medio ambiente; Control de calidad; Metodos de determinación; Bromuros; Cloruros; Fluoruros; Nitratos; Nitritos; Sulfatos";""
"Seguridad de aparatos electrodomésticos y similares. Parte 2-21 - Requisitos particulares para calentadores de agua de acumulación.";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"2016";"";"";"";"IRAM 2092-2-21:2016";"97.100.00 Artefactos eléctrico domésticos de calefacción";"Equipos electrodomésticos; Seguridad eléctrica; Medidas de seguridad; Calentadores de agua; Requisitos";""
"Calidad ambiental - Calidad de agua. Determinación de tensioactivos aniónicos por medición del índice de azul de metileno (SAAM). ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2001";"";"";"";"IRAM 29020:2001";"13.060.50: Determinación de sustancias químicas en el agua. ";"Contaminación ambiental; Agua; Calidad; Tensioactivos; Metodo de determinacion; Medicion; Compuesto de metileno";""
"Materias primas para potabilización de aguas. Policloruro de aluminio. Características, requisitos y métodos de ensayos. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2004";"";"";"";"IRAM 41106:2004";"71.100.80: Sustancias químicas para la purificación del agua. ";"Materias primas; Agua potable; Potabilizacion; Agua; Metodo de ensayo";""
"Etiquetado de eficiencia energética para electrobombas de uso domiciliario. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2012";"";"";"";"IRAM 62408:2012";"23.080.00: Bombas. ";"Etiquetado; Eficiencia energética; Energía; Metodo de ensayo; Bombas de agua";""
"Energía solar. Sistemas de calentamiento de agua sanitaria. Métodos de ensayo exteriores para la caracterización y predicción del rendimiento anual de los sistemas solares. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2016";"";"";"";"IRAM 210004: 2016";" 27.160.00: Ingeniería de la energía solar.";"Energía solar; Calentamiento; Agua potable; Métodos de ensayo";""
"Actividades relacionadas con los servicios de agua potable y de agua residual. Directrices para la evaluación y la mejora del servicio a los usuarios.";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"2011";"";"";"";"IRAM-ISO 24510:2011";"  03.080.30: Servicios para consumidores; 13.060.20: Agua potable; 13.060.30: Agua residual.";"Servicios; Agua potable; Aguas residuales";""
"Actividades relacionadas con los servicios de agua potable y de agua residual. Directrices para la gestión de las entidades prestadoras de servicios de agua residual y para la evaluación de los servicios de agua residual. ";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"2011";"";"";"";"IRAM-ISO 24511:2011";"13.060.30: Agua residual; 93.030.00: Sistemas exteriores de evacuación de aguas residuales. ";"Servicios; Agua potable; Aguas residuales";""
"Actividades relacionadas con los servicios de agua potable y de agua residual. Directrices para la gestión de las entidades prestadoras de servicios de agua potable y para la evaluación de los servicios de agua potable. ";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"2011";"";"";"";"IRAM-ISO 24512:2011";" 13.060.20: Agua potable; 93.025.00: Sistemas exteriores de suministro de agua. ";"Servicios; Agua potable; Aguas residuales";""
"Textiles. Medición de la permeabilidad al vapor de agua de textiles con fines de control de calidad. (ISO 15496: 2004)";"";"Asociación Española de Normalización y Certificación (AENOR)";"2004";"";"";"";"UNE-EN ISO 15496:2004";"59.080.01 / Textiles en general";"Materiales textiles; Mediciones; Permeabilidad; Vapor de agua; Control de calidad";""
"Textiles. Medición de la permeabilidad al vapor de agua de textiles con fines de control de calidad. (ISO 15496: 2004/Cor.1:2006)";"";"Asociación Española de Normalización y Certificación (AENOR)";"2006";"";"";"";"UNE-EN ISO 15496:2004/AC:2006";"59.080.01 / Textiles en general";"Materiales textiles; Mediciones; Permeabilidad; Vapor de agua; Control de calidad";""
"Plaguicidas inorgánicos. Determinación de impurezas en plaguicidas cuprosos y cúpricos insolubles en agua. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2009";"";"";"";"IRAM 12446:2009";"65.100.01: Plaguicidas y otros productos agroquímicos en general. ";"Pesticidas; Métodos de determinación; Impurezas; Compuestos inorganicos";""
"Drogas para análisis. Método directo de Karl Fischer para la determinación de agua. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1972";"";"";"";"IRAM 21320:1972";"71.040.30: Reactivos químicos. ";"Drogas; Metodos de analisis; Metodos de determinacion; Analisis de agua";""
"Fertilizantes. Métodos de determinación del nitrógeno total, orgánico e inorgánico, soluble e insoluble en agua, y de la actividad del nitrógeno.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1963";"";"";"";"IRAM 22406:1963";"65.080.00: Fertilizantes.";"Agroquímicos; Fertilizantes; Metodo de determinacion; Nitrogeno";""
"Calidad ambiental - Calidad del agua. Muestreo. Parte 3 - Directivas para la preservación y manipulación de las muestras.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2017";"";"";"";"IRAM 29012-3:2017";"13.060.01: Calidad del agua en general; 13.060.45: Análisis de agua en general.";"Agua; Calidad; Medio ambiente; Muestreo; Agua potable; Manipulación; Preservación de muestras";""
"Calidad de agua. Muestreo. Parte 7: Guía para el muestreo de agua y vapor en calderas.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1998";"";"";"";"IRAM 29012-7:1998";"13.060.25: Agua para uso industrial; 13.060.45: Análisis de agua en general.";"Agua; Calidad; Medio ambiente; Muestreo; Agua potable; Manipulación; Preservación de muestras; Calderas de vapor";""
"Calidad ambiental. Calidad de agua. Muestreo. Parte 9: Directivas para el muestreo de aguas marinas y de estuarios. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2001";"";"";"";"IRAM 29012-9:2001";"13.060.45: Análisis de agua en general. ";"Agua; Calidad; Medio ambiente; Muestreo; Agua de mar; Manipulación; Preservación de muestras";""
"Calidad ambiental - Calidad del agua. Muestreo. Parte 13 - Directivas para el muestreo de barros.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2017";"";"";"";"IRAM 29012-13:2017";"13.060.01: Calidad del agua en general; 13.060.45: Análisis de agua en general.";"Agua; Calidad; Medio ambiente; Muestreo; Manipulación; Preservación de muestras; Barro";""
"Calidad ambiental - Calidad del agua. Muestreo. Parte 18 - Directivas para el muestreo de aguas subterráneas en sitios potencialmente contaminados.";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2017";"";"";"";"IRAM 29012-18:2017";" 13.060.01: Calidad del agua en general; 13.060.45: Análisis de agua en general; 13.060.50: Determinación de sustancias químicas en el agua; 13.060.70: Determinación de las propiedades biológicas del agua.";"Agua; Calidad; Medio ambiente; Muestreo; Manipulación; Preservación de muestras; Agua subterranea; Contaminacion del agua";""
"Pinturas. Pinturas al agua tipo emulsión para interiores, mate. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2007";"";"";"";"IRAM 1070:2007";"87.040.00 Pinturas y barnices";"Pinturas; Pinturas al agua; Emulsiones";""
"Agua destilada para acumuladores eléctricos. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1956";"";"";"";"IRAM 2061:1956";"29.220.01: Pilas y baterías galvánicas en general.";"Metodo de ensayo; Acumuladores; Circuitos electricos; Electrolitos; Agua";""
"Cueros. Método estático para la determinación de la absorción de agua por la técnica de Kubelka. ";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1989";"";"";"";"IRAM 8507:1989";"59.140.30: Cueros y pieles. ";"Cueros; Metodo de determinacion; Absorcion de agua";""
"Carpintería de obra. Ventanas exteriores. Método de ensayo de estanquidad al agua. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2001";"";"";"";"IRAM 11591:2001";"91.060.50: Puertas y ventanas.";"Construcciones; Edificios; Carpintería de obra; Ventanas; Metodo de determinacion; Ensayo de resistencia; Estanquidad; Agua";""
"Textiles. Determinación de formaldehído. Parte 1 - Formaldehído libre e hidrolizado (método por extracción con agua). ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2018";"";"";"";"IRAM 25729-1:2018";"59.080.01: Textiles en general. ";"Materiales textiles; Métodos de determinación; Formaldehido; Hidrólisis";""
"Productos químicos para uso doméstico. Agua lavandina (solución de hipoclorito de sodio). Parte 5: Determinación del contenido de cobre. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2005";"";"";"";"IRAM 41173-5:2005";"71.060.50: Sales; 71.100.35: Productos químicos para desinfección industrial y doméstica; 71.100.80: Sustancias químicas para la purificación del agua. ";"Productos químicos; Lavandina; Métodos de determinación; Cobre";""
"Productos químicos para uso doméstico. Agua lavandina (solución de hipoclorito de sodio). Parte 6: Determinación del contenido de hierro. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2005";"";"";"";"IRAM 41173-6:2005";"71.060.50: Sales; 71.100.35: Productos químicos para desinfección industrial y doméstica; 71.100.80: Sustancias químicas para la purificación del agua.";"Productos químicos; Lavandina; Métodos de determinación; Hierro";""
"Productos químicos para uso doméstico. Agua lavandina (solución de hipoclorito de sodio). Parte 7: Determinación del contenido de níquel. ";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2006";"";"";"";"IRAM 41173-7:2006";"71.060.50: Sales; 71.100.35: Productos químicos para desinfección industrial y doméstica; 71.100.80: Sustancias químicas para la purificación del agua.";"Productos químicos; Lavandina; Métodos de determinación; Niquel";""
"El rol de la documentación e información en el proceso científico y tecnológico";"";"";"1979";"INCYTH";"Centro de Economía, Legislación y Administración del Agua (CELA), Mendoza, AR. Seminario sobre documentación e información. AR. 1979";"002:007/S471/A";"";"";"Documentación; Información; Reuniones; Tecnología y ciencia";""
"La actividad científico-tecnológica y el rol de los servicios de documentación e información";"Von Wuthenau, F.";"";"1979";"INCYTH";"Centro de Economía, Legislación y Administración del Agua (CELA), Mendoza, AR. Seminario sobre documentación e información. AR. 1979";"002:007/S471/A";"";"";"Documentación; Información; Reuniones; Tecnología y ciencia";""
"La documentación e información en el campo de las ciencias sociales y humanidades; estado de situación";"Zuleta Alvarez, E.";" (UNC)";"1979";"INCYTH";"Centro de Economía, Legislación y Administración del Agua (CELA), Mendoza, AR. Seminario sobre documentación e información. AR. 1979";"002:007/S471/A";"";"";"Documentación; Información; Reuniones; Tecnología y ciencia";""
"Pautas para la construcción de tesauros";"Saurina, M.E.";"";"1979";"INCYTH";"Centro de Economía, Legislación y Administración del Agua (CELA), Mendoza, AR. Seminario sobre documentación e información. AR. 1979";"002:007/S471/C";"";"";"Reuniones; Documentación; Automatización; Centros de información; Tesauros";""
"Construcción de tesauros; método empleado en la elaboración del tesauro de CINTERFOR";"Linares, E.";"";"1979";"INCYTH";"Centro de Economía, Legislación y Administración del Agua (CELA), Mendoza, AR. Seminario sobre documentacion e informacion. AR. 1979";"002:007/S471/C";"";"";"Reuniones; Documentación; Automatización; Centros de información; Tesauros";""
"Criterios para la organización de un sistema";"Gietz, R.A.";" (CAICYT)";"1979";"INCYTH";"Centro de Economía, Legislación y Administración del Agua (CELA), Mendoza, AR. Seminario sobre documentación e información. AR. 1979";"002:007/S471/D";"";"";"Reuniones; Documentacion; Centros de información; Automatización";""
"El Centro Argentino de Información Científica y Tecnológica "CAICYT"";"Gietz, R.A.";"Centro Argentino de Información Científica y Tecnológica (CAICYT)";"1979";"INCYTH";"Centro de Economía, Legislación y Administración del Agua (CELA), Mendoza, AR. Seminario sobre documentación e información. AR. 1979";"002:007/S471/D";"";"";"Reuniones; Documentación; Centros de información; Automatización";""
"Drinking-water and standard methods for testing and analysis";"";"Arab League. Arab Organization for Standardization and Metrology (ASMO)";"1971";"ASMO";"";"543.3/A658";"";"";"Análisis de agua; Agua potable; Métodos de análisis; Especificaciones; Normas; Propiedades físicas; Propiedades químicas; Sustancias tóxicas; Análisis bacteriológico; Muestreo; Ensayos físicos; Color; Turbidez; Olor; Plomo; Arsénico; Cromo; Cadmio; Cianuro; Fluoruros; Nitratos; Hierro; Manganeso; Cobre; Cinc; Magnesio; Calcio; Sulfatos; Cloruros; PH; Fenoles; Amoníaco; Tensioactivos; Aceites; Grasas; Nitritos; Nitrógeno; Sustancias orgánicas; Demanda bioquímica de oxígeno; Oxígeno; Fosfatos; Cloro; Bacterias coliformes; Métodos de determinación";""
"Glosario de conservación de suelos y aguas; inglés-español";"";"Soil Conservation Society of America";"1962";"Centro Regional de Ayuda Técnica";"";"03:631.4/S683/1962/R";"";"";"Diccionarios; Conservación; Suelos; Tratamiento de aguas; Agua";""
"AWWA standard";"";"American Water Works Association (AWWA)";"1981";"ANSI/AWWA";"";"628.39/ANSI/AWWA/N";"";"";"Agua; Contaminación del agua; Tratamiento de aguas; Normalización";""
"Aditivos y auxiliares de fabricación en las industrias agroalimentarias";"Multon, J.L. (Coord.");"";"1988";"Acribia";"";"664.095/M961";"";"";"Aditivos alimentarios; Alimentos; Agroindustrias; Industria alimentaria; Tecnología de alimentos; Conservación de alimentos; Alimentación; Consumidores; Seguridad alimentaria; Control; Valor nutritivo; Salud pública; Calidad; Propiedades físicas; Minerales; Antioxidantes; Agua; Características organolépticas; Aroma; Edulcorantes; Colorantes; Espesantes; Emulsiones; Aglomerantes; Enzimas; Proteínas; Estabilización; Bebidas";""
"Aguas subterráneas; contaminación urbana, industrial y agrícola";"Porras Martín, J.; Nieto, P.; Calvín Velasco, J.";"Centro Internacional de Formación en Ciencias Ambientales (CIFCA)";"1979";"CIFCA";"";"301.16/C397/Ser.13";"";"";"Agua subterránea; Contaminación ambiental; Aguas residuales; Suelos";""
"Aguas subterráneas";"";"Centro Internacional de Formación en Ciencias Ambientales (CIFCA)";"1979";"CIFCA";"";"301.16/C397/ser.14";"";"";"Medio ambiente; Agua subterránea; Aguas residuales; Tratamiento de aguas";""
"Contaminación de aguas subterráneas; modelos de simulación";"Bonny, C.L.; Lenton, R.L.";"Centro Internacional de Formación en Ciencias Ambientales (CIFCA)";"1978";"CIFCA";"";"301.16/C397/Ser.12";"";"";"Contaminación del agua; Agua subterránea; Modelos matemáticos; Optimización; Simulación";""
"Aguas subterráneas, problemas generales de la contaminación";"Porras Martín, J.; Thauvin, J.";"Centro Internacional de Formación en Ciencias Ambientales (CIFCA)";"1978";"CIFCA";"";"301.16/C397/Ser.7";"";"";"Medio ambiente; Contaminación del agua; Agua subterránea";""
"";"";"";"1992";"CIDEPINT";"";"667.6/C397/1992";"";"";"Pinturas; Retardantes de fuego; Pigmentos; Resinas; Impedancia; Plastificantes; Caucho clorado; Agua de mar; Termodinámica; Cromatografía de gases; Cromatografía líquida; Recubrimientos antiincrustantes; Toxicidad; Larvas; Corrosión; Aleaciones; Protección contra la corrosión; Métodos electroquímicos; Incrustaciones biológicas; Aleaciones de cobre; Aleaciones de níquel; Centrales eléctricas; Costas; Buenos Aires";""
"Estadística hidrológica hasta 1990";"";"Agua y Energía. Sociedad del Estado (AyE)";"1991";"AyE";"";"31:556.18/A282/E";"";"";"Abastecimiento de agua; Ingeniería sanitaria; Recursos hídricos; Cuencas fluviales";""
"Acuíferos costeros de la provincia de Buenos Aires, sector Punta Rasa-Punta Médanos; parte 1 hidrogeología, hidrodinámica e hidráulica";"González Arzac, Ricardo; Vizcaíno, Alejandro; Campos Alfonso, Francisco";"Consejo Federal de Inversiones (CFI)";"1992";"CFI";"";"556/C755/ser.4";"";"";"Hidrogeología; Agua subterránea; Hidrología; Hidrodinámica; Hidráulica; Buenos Aires, Argentina";""
