sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Mangas de caucho con refuerzo textil y /o metálico para conducción de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1971";"";"";"";"IRAM 113051";"83.140.40";"Caucho; Materiales reforzados; Mangueras";""
"Pigmentos y cargas para caucho. Método de determinación de las materias solubles en agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1967";"";"";"";"IRAM 113210";"83.040.20";"Caucho; Pigmentos; Cargas; Solubilidad; Métodos de determinación; Agua";""
"Caucho. Bolsas de caucho para agua caliente";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1971";"";"";"";"IRAM 113085";"11.140.00";"Caucho; Bolsas; Agua caliente";""
"Measurement of water flow in fully charged closed conduits - Meters for cold potable water and hot water - Part 3: Test methods and equipment";"";"International Organization for Standardization (ISO)";"2005";"";"";"";"ISO 4064-3";"91.140.60";"Agua potable; Agua fria; Agua caliente; Mediciones; Flujo; Medidores; Métodos de ensayo; Equipos; Redes cerradas de agua";""
"Measurement of water flow in fully charged closed conduits - Meters for cold potable water and hot water - Part 1: Specifications";"";"International Organization for Standardization (ISO)";"2005";"";"";"";"ISO 4064-1";"91.140.60";"Agua potable; Agua fria; Agua caliente; Mediciones; Flujo; Medidores; Métodos de ensayo; Equipos; Redes cerradas de agua; Especificaciones";""
"Measurement of water flow in fully charged closed conduits - Meters for cold potable water and hot water - Part 2: Installation requirements";"";"International Organization for Standardization (ISO)";"2005";"";"";"";"ISO 4064-2";"91.140.60";"Agua potable; Agua fria; Agua caliente; Mediciones; Flujo; Medidores; Métodos de ensayo; Equipos; Redes cerradas de agua; Instalaciones";""
"Medidores velocimétricos de agua potable fría, hasta 15 m3/h";"";"Comité Mercosur de Normalización (CMN)";"1999";"";"";"";"NM 212:99";"17.120.10; 91.140.60";"Agua potable; Agua fría; Mediciones; Medidores; Velocímetros";""
"Pisos de caucho. Método de determinación de la absorción de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1981";"";"";"";"IRAM 113074";"83.140.99";"Caucho; Pisos; Métodos de determinación; Absorción; Agua";""
"Influencia de los materiales sobre el agua destinada al consumo humano. Influencia de la migración. Parte 4: Método de ensayo para las membranas para tratamiento del agua";"";"Asociación Española de Normalización y Certificación (AENOR)";"2007";"";"";"";"UNE-EN 12873-4";"13.060.20; 67.250";"Agua potable; Materiales en contacto con alimentos; Migración; Métodos de ensayo; Membranas; Tratamiento de aguas; Calidad del agua";""
"Influencia de los materiales sobre el agua destinada al consumo humano. Influencia de la migración. Parte 3: Método de ensayo para resinas de intercambio iónico y adsorbentes";"";"Asociación Española de Normalización y Certificación (AENOR)";"2007";"";"";"";"UNE-EN 12873-3";"13.060.20; 67.250";"Agua potable; Materiales en contacto con alimentos; Migración; Métodos de ensayo; Resinas; Tratamiento de aguas; Calidad del agua";""
"Agregados finos. Métodos de laboratorio para la determinación de la densidad relativa real, de la densidad relativa aparente y de la absorción de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2002";"";"";"";"IRAM 1520";"91.100.30-20";"Materiales de construcción; Agregados; Métodos de determinación; Densidad relativa; Absorción; Agua";""
