TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
Algunas reflexiones relacionadas con el sentido (o sinsentido) de la investigación. Some thoughts related to the sense (or senseless) of research;Falcato, Pedro; (INTI-Extensión y Desarrollo-Biblioteca);2008;INIBI;;;;;"Investigación; Metodología";
El Grupo de Trabajo sobre Consultas en Bases de Datos del CAICYT: Un antecedente argentino en la pre-historia de las búsquedas de información científica y tecnológica en Internet. Parte 2: Desarrollo, actividades y legado. The Work Team on Databases Queries of CAICYT: An Argentine precedent in the pre-history of the scientific and technological information search on the Internet. Part 2: Development, Activities and Legacy;Falcato, Pedro; (INTI-Extensión y Desarrollo-Biblioteca);2014;INIBI;;;;;"Búsqueda en línea; Recuperación de información; Bases de datos; Internet; Historia; Fuentes de información; Documentación; Capacitación; Información científico técnica";
Procesos de búsqueda de información en entornos digitales: un estudio de usuarios del área tecnológica industrial argentina;Falcato, P.;Universidad de Buenos Aires. Facultad de Filosofía y Letras;2015;s.e.;;;;;"Bibliotecología; Ciencias de la información; Usuarios; Búsqueda en línea; Estrategias de búsqueda; Términos de búsqueda; Recuperación de la información; Manejo de la información; Evaluación de la información; Fuentes de información; Sistemas de información; Alfabetización informacional; Sociedad de la información; Tecnologías de la información y la comunicación; Información industrial; Investigación científico técnica; Tecnología y ciencia; Servicio de referencia";
Resiliencia de servicios bibliotecarios en el área tecnológica;Falcato, Pedro;Instituto Nacional de Tecnología Industrial (INTI);2019;s.n.;Asociación de Bibliotecarios Graduados de la República Argentina (ABGRA), AR. ^nJornada de Bibliotecas de Ciencia y Tecnología^sJoBiCyT^n9. AR. 2019;;;;"Servicio de referencia; Servicios de información; Bibliotecas especializadas; Bibliotecarios; Bibliotecología; Tecnología y ciencia; Investigación científico técnica";
Libertad, información y la urgencia del desarrollo de las competencias informacionales;Falcato, Pedro;Instituto Nacional de Tecnología Industrial (INTI);2019;INIBI;2019;;;;"Bibliotecología; Libertad; Manejo de la información; Evaluación de la información; Ciencias de la información; Sociedad de la información; Alfabetización informacional";
Necesidades, obstáculos y soluciones en la búsqueda de información tecnológica: combinando estudio de usuarios con formación;Falcato, P.;;2015;INTI;Instituto Nacional de Tecnología Industrial (INTI), Buenos Aires, AR. TecnoINTI edición 2015. Jornadas Abiertas de Desarrollo, Innovación y Transferencia Tecnológica, 12. AR. 2015;;;;"Estrategias de búsqueda; Infornación científico técnica";
Búsqueda de información tecnológica industrial: estudio de usuarios en el INTI;Falcato, P.;;2017;INTI;Instituto Nacional de Tecnología Industrial (INTI), Buenos Aires, AR. TecnoINTI edición 2017. Jornadas Abiertas de Desarrollo, Innovación y Transferencia Tecnológica, 13. AR. 2017;;;;"Estrategias de búsqueda; Evaluación de la información; Fuentes de información; Usuarios; Servicio de referencia";
Desarrollo e implementación del Repositorio Institucional del INTI versión 3.0;"Cossalter, R.; de Haro, H. A.; Falcato, P.; Zein, M. F.";;2022;INTI;Instituto Nacional de Tecnología Industrial (INTI), Argentina. TecnoINTI edición 2022, 14. AR. 2022;;;;"Repositorios digitales; Repositorios institucionales; Acceso abierto; Información científico técnica";
Análisis bibliométrico de coautoría y colaboración en torno a las 13as. jornadas TecnoINTI;"Falcato, P.; Dana, A. R.; de Haro, H. A.; Cossalter, R.; Lavalle, B. C.";;2022;INTI;Instituto Nacional de Tecnología Industrial (INTI), Argentina. TecnoINTI edición 2022, 14. AR. 2022;;;;"Bibliometría; Repositorios digitales; Repositorios institucionales; Acceso abierto; Información científico técnica";
Análisis bibliométrico de coautoría y colaboración en torno a las 13as. jornadas TecnoINTI : informe extenso;"Falcato, P.; Dana, A. R.; de Haro, H. A.; Cossalter, R.; Lavalle, B. C.";;2022;INTI;Instituto Nacional de Tecnología Industrial (INTI), Argentina. TecnoINTI edición 2022, 14. AR. 2022;;;;"Bibliometría; Repositorios digitales; Repositorios institucionales; Acceso abierto; Información científico técnica";
